Financial Aid System Applicant ID,Total Tuition,Recommended Award,Rec Award Perc Tuition, Children in Applicants HH,Est Household Contribution,Total Income, Total Available for Tuition, Total Assets,Total Liabilities,Total Net Worth,P1 Alumni Academy,P1 Alumni Camp,P1 Alumni Institute,P1 Alumni All-State,P2 Alumni Academy,P2 Alumni Camp,P2 Alumni All-State,P2:Alumni Institute,Sum Alum,Grade,Primary Arts Area,Aid Total Need,Aid Merit,Aid Inst Grant,Sex,Behavior Review,Academic Review,Health Review,Learning Specialist Review,CAPS Review,Sum Review,Tuition Default,Art Rating,Accepted,Attended Camp,Attended Inst,Attended Sum,Tuition Remander,Total FA,Percent FA,Enrolled
588378,62185,0,0,1,6000,340408,241905,1187000,51970,1135030,0,0,0,0,0,0,0,0,0,11,0,30000,0,7000,0,0,0,0,0,0,0,0,4,1,1,0,1,25185,37000,0.595,1
579209,64615,62185,0.9624,1,0,29017,0,0,50000,-50000,0,0,0,0,0,0,0,0,0,10,0,43000,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,21615,43000,0.6655,1
546270,66135,53113,0.8031,5,12000,90404,13022,26500,30500,-4000,0,0,0,0,0,0,0,0,0,12,5,42000,0,0,1,0,0,0,0,0,0,0,5,1,0,0,0,24135,42000,0.6351,1
579251,66135,62135,0.9395,1,4000,20000,4000,1200,15000,-13800,0,0,0,0,0,0,0,0,0,12,1,54000,0,0,0,0,0,0,0,0,0,0,3,1,1,1,2,12135,54000,0.8165,1
540865,66135,0,0,4,8000,356668,347978,3385000,146000,3239000,0,0,0,0,0,0,0,0,0,12,5,0,0,0,1,0,0,0,0,0,0,0,3,1,0,0,0,66135,0,0,0
577081,66135,51135,0.7732,2,15000,37000,15000,66912,2500,64412,0,0,0,0,0,0,0,0,0,12,0,26000,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,40135,26000,0.3931,0
546607,62185,0,0,2,10000,168993,67485,559970,276759,283211,0,0,0,0,0,0,0,0,0,9,5,35000,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,27185,35000,0.5628,0
590435,66135,0,0,1,15000,358000,332903,4786500,7500,4779000,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,1,66135,0,0,1
552051,66135,16179,0.2446,3,10000,123373,49956,1225435,394768,830667,1,0,0,0,0,0,0,0,1,12,3,36200,0,10000,1,0,0,0,0,0,0,0,5,1,0,0,0,19935,46200,0.6986,1
543284,66135,0,0,2,40000,239188,170549,1633247,199345,1433902,0,0,0,0,0,0,0,0,0,12,1,0,0,0,1,0,0,0,0,0,0,0,3,1,1,1,2,66135,0,0,1
531906,62185,52185,0.8392,1,10000,55457,10000,25100,139500,-114400,0,0,0,0,0,0,0,0,0,9,3,45000,0,0,0,1,1,1,1,1,5,1,5,1,1,0,1,17185,45000,0.7236,1
562249,62185,0,0,2,26500,384500,333996,6062646,1234693,4827953,0,0,0,0,0,0,0,0,0,11,4,0,0,0,1,0,0,0,0,1,1,0,4,1,0,0,0,62185,0,0,1
530139,62185,0,0,2,10000,217727,93875,768360,248270,520090,0,0,0,0,0,0,0,0,0,9,0,15000,0,0,0,0,0,1,0,0,1,0,3,1,0,0,0,47185,15000,0.2412,1
536371,66135,0,0,1,30000,431472,264871,2388830,1074600,1314230,0,0,0,0,0,0,0,0,0,12,0,0,0,0,1,0,0,0,0,1,1,0,3,1,1,0,1,66135,0,0,1
549059,62185,0,0,2,45000,455064,276456,1364445,366159,998286,0,0,0,0,0,0,0,0,0,10,3,0,0,0,1,0,0,1,0,0,1,0,2,1,0,0,0,62185,0,0,1
536817,62185,40321,0.6484,1,15000,85113,21864,296100,142171,153929,0,0,0,0,0,0,0,0,0,9,0,42200,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,19985,42200,0.6786,1
545389,62185,0,0,2,25000,302193,160333,1772500,574000,1198500,0,0,0,0,0,0,0,0,0,9,3,5000,0,10000,0,0,0,0,0,0,0,0,4,1,1,0,1,47185,15000,0.2412,1
545939,66135,0,0,3,35000,179764,174911,3218349,5000,3213349,0,0,0,0,0,0,0,0,0,12,3,0,0,0,1,0,0,0,1,1,2,0,3,1,1,0,1,66135,0,0,1
528232,66135,0,0,3,16500,186650,93018,1236700,354062,882638,0,0,0,0,0,0,0,0,0,12,0,0,0,10000,1,0,0,0,0,0,0,0,5,1,1,1,2,56135,10000,0.1512,0
