Financial Aid System Applicant ID,Total Tuition,Recommended Award,Rec Award Perc Tuition, Children in Applicants HH,Est Household Contribution,Total Income, Total Available for Tuition, Total Assets,Total Liabilities,Total Net Worth,P1 Alumni Academy,P1 Alumni Camp,P1 Alumni Institute,P1 Alumni All-State,P2 Alumni Academy,P2 Alumni Camp,P2 Alumni All-State,P2:Alumni Institute,Sum Alum,Grade,Primary Arts Area,Aid Total Need,Aid Merit,Aid Inst Grant,Sex,Behavior Review,Academic Review,Health Review,Learning Specialist Review,CAPS Review,Sum Review,Tuition Default,Art Rating,Accepted,Attended Camp,Attended Inst,Attended Sum,Tuition Remander,Total FA,Percent FA,Enrolled
460086,63450,54500,0.8589,3,5000,19360,5000,210350,2000,208350,0,0,0,0,0,0,0,0,0,12,0,47450,0,0,1,0,0,0,0,0,0,0,2,1,1,1,2,16000,47450,0.7478,1
457180,59500,913,0.0153,2,20000,112557,58587,150000,87000,63000,0,0,0,0,0,0,0,0,0,11,0,30000,0,0,1,0,0,0,0,0,0,0,3,1,0,0,0,29500,30000,0.5042,1
489547,59500,59000,0.9916,1,500,42818,500,18800,61000,-42200,0,0,0,0,0,0,0,0,0,11,0,55000,0,0,1,0,0,0,0,0,0,0,5,1,1,0,1,4500,55000,0.9244,1
486332,59500,59000,0.9916,2,500,45438,500,453500,335276,118224,0,0,0,0,0,0,0,0,0,11,6,47500,0,0,1,0,0,0,0,0,0,0,4,1,0,0,0,12000,47500,0.7983,0
522518,59500,22074,0.371,6,3500,217671,37426,752300,743000,9300,0,0,0,0,0,0,0,0,0,10,0,39000,0,0,1,0,0,0,0,0,0,0,4,1,1,0,1,20500,39000,0.6555,1
520183,59500,0,0,1,20000,316696,177605,2472000,510920,1961080,0,0,0,0,0,0,0,0,0,11,1,5000,0,0,1,0,0,0,0,0,0,0,4,1,1,0,1,54500,5000,0.084,0
458336,63450,0,0,2,7100,352765,103283,1114934,642221,472713,0,0,0,0,0,0,0,0,0,12,0,32450,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,31000,32450,0.5114,1
460368,59500,27570,0.4634,1,7000,118500,31930,195050,99500,95550,0,0,0,0,0,0,0,0,0,9,1,39000,0,0,1,0,0,0,0,0,0,0,4,1,1,0,1,20500,39000,0.6555,1
487997,59500,4994,0.0839,1,12000,114693,54506,1113705,369747,743958,0,0,0,0,0,0,0,0,0,11,1,20000,0,5000,1,0,0,0,0,0,0,0,4,1,1,0,1,34500,25000,0.4202,1
464782,63450,0,0,2,30000,441736,296445,2691665,465296,2226369,0,0,0,0,0,0,0,0,0,12,0,0,0,12000,0,0,0,0,0,0,0,0,5,1,1,0,1,51450,12000,0.1891,1
521077,59500,0,0,1,5000,185372,70302,622565,444313,178252,0,0,0,0,0,0,0,0,0,11,4,37000,0,0,1,0,0,0,0,0,0,0,4,1,1,0,1,22500,37000,0.6218,1
466860,59500,0,0,2,35000,1230663,743533,4009971,1406667,2603304,0,0,0,0,0,0,0,0,0,11,1,0,0,5000,1,0,0,0,0,0,0,0,5,1,1,0,1,54500,5000,0.084,1
